name,bm_unit,lat,long
Peterborough Power Station,PETEM1,52.5769,-0.204
Peterhead Power Station,PEHED-1,57.4772,-1.78888
Rampion Wind Farm,RMPNO-1,50.664722222,-0.278888888
Rampion Wind Farm,RMPNO-2,50.664722222,-0.278888888
Ratcliffe-on-Soar power station,RATS-1,52.8653,-1.255
Ratcliffe-on-Soar power station,RATS-2,52.8653,-1.255
Ratcliffe-on-Soar power station,RATS-3,52.8653,-1.255
Ratcliffe-on-Soar power station,RATS-4,52.8653,-1.255
Ratcliffe-on-Soar power station,RATSGT-2,52.8653,-1.255
Ratcliffe-on-Soar power station,RATSGT-4,52.8653,-1.255
Rheidol Power Station,RHEI-4,52.396,-3.9
Rocksavage Power Station,ROCK-1,53.3154,-2.72541
Rye House power station,RYHPS-1,51.7625,0.01077
Seabank Power Station,SEAB-1,51.54,-2.669
Seabank Power Station,SEAB-2,51.54,-2.669
Seal Sands Power Station,VKING-2,54.6067,-1.20268
Sheringham Shoal Offshore Wind Farm,SHRSO-1,53.1167,1.13333
Sheringham Shoal Offshore Wind Farm,SHRSO-2,53.1167,1.13333
Shoreham Power Station,SHOS-1,50.8294,-0.230556
South Humber Bank Power Station,SHBA-1,53.603,-0.146
South Humber Bank Power Station,SHBA-2,53.603,-0.146
Spalding Power Station,SEEL-1,52.8078,-0.1321
Spalding Power Station,SPLN-1,52.8078,-0.1321
St Fergus Gas Terminal,SFERD-1,57.5706,-1.83803
St Fergus Gas Terminal,SFGSD-1,57.5706,-1.83803
St Fergus Gas Terminal,SFGSD-2,57.5706,-1.83803
Staythorpe Power Station,STAY-1,53.0748,-0.85573
Staythorpe Power Station,STAY-2,53.0748,-0.85573
Staythorpe Power Station,STAY-3,53.0748,-0.85573
Staythorpe Power Station,STAY-4,53.0748,-0.85573
Sutton Bridge Power Station,SUTB-1,52.7572,0.19316
Taylor's Lane Power Station,TAYL2G,51.546,-0.2575
Taylor's Lane Power Station,TAYL3G,51.546,-0.2575
Teesside power station,TSREP-1,54.5768,-1.12042
Triton Knoll Wind Farm,TKNEW-1,53.4,0.9
Triton Knoll Wind Farm,TKNWW-1,53.4,0.9
West of Duddon Sands Wind Farm,WDNSO-1,53.983,-3.463
West of Duddon Sands Wind Farm,WDNSO-2,53.983,-3.463
Westermost Rough Wind Farm,WTMSO-1,53.805,0.149
Wilton power stations,WILCT-1,54.5894,-1.1185
Salt End Power Station,SCCL-1,53.7355,-0.2431
Salt End Power Station,SCCL-2,53.7355,-0.2431
Salt End Power Station,SCCL-3,53.7355,-0.2431
Galloper Offshore Wind Farm,GAOFO-1,51.771111111,1.992222222
Galloper Offshore Wind Farm,GAOFO-2,51.771111111,1.992222222
Galloper Offshore Wind Farm,GAOFO-3,51.771111111,1.992222222
Galloper Offshore Wind Farm,GAOFO-4,51.771111111,1.992222222
Hornsea One Offshore Wind Farm,HOWAO-1,53.885,1.791
Hornsea One Offshore Wind Farm,HOWAO-2,53.885,1.791
Hornsea One Offshore Wind Farm,HOWAO-3,53.885,1.791
Foyers Power Station,FOYE-1,57.262111111,-4.483527777
Foyers Power Station,FOYE-2,57.262111111,-4.483527777
Foyers Power Station,FOYED-1,57.262111111,-4.483527777
Grain Power Station,GRAI-6,51.443055555,0.708055555
Grain Power Station,GRAI-7,51.443055555,0.708055555
Grain Power Station,GRAI-8,51.443055555,0.708055555
Grain Power Station,GRAI1G,51.443055555,0.708055555
Grain Power Station,GRAI4G,51.443055555,0.708055555
King's Lynn Power Station,KLYN-A-1,52.7273,0.380117
Lynemouth power station,LNMTH-1,55.2042,-1.52083
Lynemouth power station,LNMTH-2,55.2042,-1.52083
Lynemouth power station,LNMTH-3,55.2042,-1.52083
Dogger Bank A Wind Farm,DBAWO-1,54.7489,1.9301
Dogger Bank A Wind Farm,DBAWO-2,54.7489,1.9301
Twentyshilling Hill Wind Farm,TWSHW-1,55.3142,-3.9185
Whiteside Hill Wind Farm,WHIHW-1,,
Windy Rig Wind Farm,WDRGW-1,,
West Burton B Battery,WBURB-41,,
West Burton B Battery,WBURB-43,,
Tullo Wind Farm,TULWW-1,,
Tullo Wind Farm,TULWW-2,,
Whitelee Battery,WHLWB-1,55.6954,-4.17331
Claredown Battery Storage,ZEN02A,,
Roundponds Battery,AG-HEL01H,,
Kemsley Battery Storage,KEMB-1,,
Byers Brae Battery Storage,NFSE02,,
Minety Battery Storage,AG-HLIM03,,
Minety Battery Storage,AG-HLIM04,,
Minety South Battery Storage,AG-HSTK01,,
Minety South Battery Storage,AG-HSTK02,,
Newlands Farm Battery Storage,AG-HLIM01,,
Newlands Farm Battery Storage,AG-HLIM02,,
Tynemouth Energy Storage System,FFSE01,,
Pelham Battery Storage,AG-ASTK05,,
Dorking Battery Energy Storage System,AG-JSTK02,,
Aldwarke Steelworks,RHAMD-1,53.452,-1.319
Derby Gas Power Station,DERBY-2,,
Exeter Gas Power Station,EXETR-2,,
Heartlands Power Station,FDUNT-1,,
Thornhill Gas Power Station,THRNL-1,53.677222222,-1.654722222
Hallen Battery Storage,AG-LLIM01,,
Water Lane STOR,WTRLN-1,,
Letchworth STOR,LCHWT-1,,
Trafalgar Park Gas Peaking Plant,TRFPK-1,,
Lascar Battery Storage,AG-GEDF02,,
Hulley Road Battery Storage,AG-GEDF01,,
Chickerell Power Station,CHICK-1,,
Pogbie Wind Farm,PGBIW-1,,
Blary Hill Wind Farm,BLARW-1,,
Burghfield Power Station,BURGH-1,,
Keadby 2 Power Station,KEAD-2,53.5952,-0.7522
JG Pears Newark CHP,JGPR-1,,
Wishaw Battery,WISHB-1,55.76927,-3.93867
Wishaw Battery,WISHD-1,55.76927,-3.93867
Blackhillock Battery,BLHLB-1,,
Blackhillock Battery,BLHLB-2,,
Blackhillock Battery,BLHLB-3,,
Blackhillock Battery,BLHLB-4,,
Clachan Flats Wind Farm,CLFLW-1,,
Kincardine Offshore Wind Farm,KINCW-1,57.0046,-1.8596
Keith Hill Wind Farm,KTHLW-1,,
Solutia District Energy,SOLUU-1,,
Sevington District Energy,SEVIU-1,,
Sudmeadow Road Power Station,SUDME-1,,
Moorfield Drive Power Station,MORFL-1,,
Rake Lane Power Station,RAKE-1,,
Down Barn Farm Power Station,DBFRM-1,50.861673,-1.153879
Goose House Lane Power Station,GOSHS-1,,
Bridgwater Power Station,BRIDU-1,,
Coupar Battery Storage,CUPAB-1,,
Chatterley Power Station,CHTRY-1,,
Fideoak Mill Battery Storage,AG-LLIM02,51.018497,-3.157186
Bispham Flexible Generation,BSPHM-1,,
Brownieleys Wind Farm,BRNLW-1,,
Greengairs East Wind Farm,GRGRW-1,,
Broadditch Battery,BROAB-1,,
Middlewich Power Station,MDLWH-1,53.18726,-2.42461
Gowerton East Power Station,ALCOA-1,,
Chapel Farm Battery Storage,CHAPB-1,51.9266,-0.4963
Tollgate Battery Storage,TOLLB-1,,
Craig Wind Farm,CRGTW-1,,
Dogger Bank A & B Wind Farm Cluster,DBAWO-1,,
Dogger Bank A & B Wind Farm Cluster,DBAWO-2,,
Dollymans Battery Storage,DOLLB-1,,
Rise Carr Battery Storage,RSCRB-1,,
Larks Green Solar Farm,LARKS-1,51.57851,-2.477369
West Gourdie Battery,AG-PFLX01,,
Farnham Battery Storage,FARNB-1,,
Coventry Battery Storage,COVNB-1,,
Fordtown Battery Storage,AG-HEL0CP,,
Camilla Battery Storage,AG-HEL0DN,,
Burwell Solar Farm,BURWS-1,52.283,0.302
Clay Tye Battery,CLAYB-1,,
Clay Tye Battery,CLAYB-2,,
Little Raith Battery Storage,LITRB-1,,
Newton Wood Farm Battery Storage,NEWTB-1,,
Jamesfield Battery Storage,JAMBB-1,,
Ilmer Lane Battery Storage,ILMEB-1,,
Carnegie Road Battery,CRSSB-1,,
Cumberhead Wind Farm,CUMHW-1,,
