,site_name,development_status,development_status,long,lat,technology_type,capacity,county,region,country
119,Bolingbroke Road,Abandoned,Abandoned,-0.0019555672926098557,53.383476348306374,Biomass (dedicated),3.00,Lincolnshire,East Midlands,England
120,Nuneaton Animal Waste Incinerator,Abandoned,Abandoned,-1.5111107444399097,52.55340833587166,Biomass (dedicated),5.00,Warwickshire,West Midlands,England
121,Bracknell Forest Biomass Centre,Abandoned,Abandoned,-0.7551136816522347,51.418305878913245,Biomass (dedicated),1.10,Berkshire,South East,England
122,Elswick,Abandoned,Abandoned,-2.8739460623215463,53.837565433885274,Biomass (dedicated),1.00,Lancashire,North West,England
123,Ince Bio Power,Operational,Operational,-2.8188874683528797,53.28265722910755,Advanced Conversion Technologies,21.50,Cheshire,North West,England
124,Barton Renewable Energy Plant,Abandoned,Abandoned,-2.369662713604307,53.46863356688755,Biomass (dedicated),20.00,Greater Manchester,North West,England
125,Brigg Renewable Energy Plant ,Operational,Operational,-0.5096090564756909,53.54232796852933,Biomass (dedicated),40.00,Humberside,Yorkshire and Humber,England
126,Chalk Lane Business Park,Abandoned,Abandoned,0.9510576764916806,52.47711019861032,Advanced Conversion Technologies,4.00,Norfolk,Eastern,England
127,Tilbury Green Power,Operational,Operational,0.3496766121735426,51.46040291608526,Biomass (dedicated),43.00,Essex,Eastern,England
128,Tees Renewable Energy Plant,Planning Permission Expired,Planning Permission Expired,-1.161281904710767,54.60214612248079,Biomass (dedicated),299.00,Cleveland,North East,England
129,"Express Power, Innovia Films Site",Application Withdrawn,Planning Application Withdrawn,-3.025619104721453,51.117614467714894,Biomass (dedicated),20.00,Somerset,South West,England
130,Markinch Biomass CHP Plant,Operational,Operational,-3.162254966067163,56.20118041065018,Biomass (dedicated),65.00,Fife,Scotland,Scotland
131,Briar Hill Farm,Abandoned,Abandoned,-0.939745634889673,53.571696459016,Biomass (dedicated),10.00,South Yorkshire,Yorkshire and Humber,England
132,Longannet,Abandoned,Abandoned,-3.7038560640853264,56.05739888954793,Biomass (dedicated),25.00,Fife,Scotland,Scotland
133,Bristol Liquid Biomass,Abandoned,Abandoned,-2.673670571957623,51.53205396313162,Biomass (dedicated),50.00,Avon,South West,England
134,Llynfi Biomass Power Station,Planning Permission Expired,Planning Permission Expired,-3.6120087555137466,51.57029925961978,Biomass (dedicated),25.00,Mid Glamorgan,Wales,Wales
