,bm_unit,repd_site_name,repd_lat,repd_long,technology_type,capacity,county,region,development_status
124,E__MDRX002,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
125,T_DRAXX-4,Drax Biomass Power Station - Unit 1,53.73559,-0.9911,Biomass (co-firing),645.0,North Yorkshire,Yorkshire and Humber,Operational
126,T_DRAXX-6,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
127,T_DRAXX-3,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
128,T_DRAXX-2,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
129,T_DRAXX-4,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
130,T_DRAXX-1,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
131,T_DRAXX-5,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
132,E__MDRX002,Drax Biomass Power Station - Unit 2,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
133,E__MDRX002,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
134,T_DRAXX-6,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
135,T_DRAXX-1,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
136,T_DRAXX-5,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
137,T_DRAXX-4,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
138,T_DRAXX-3,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
139,T_DRAXX-2,Drax Biomass Power Station - Unit 3,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
140,T_DRAXX-3,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
141,E__MDRX002,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
142,T_DRAXX-1,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
143,T_DRAXX-6,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
144,T_DRAXX-4,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
145,T_DRAXX-2,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
146,T_DRAXX-5,Drax Biomass Power Station - Unit 4,53.73559,-0.9911,Biomass (dedicated),645.0,North Yorkshire,Yorkshire and Humber,Operational
147,T_DRAXX-3,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
148,E__MDRX002,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
149,T_DRAXX-5,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
150,T_DRAXX-6,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
151,T_DRAXX-4,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
152,T_DRAXX-1,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
153,T_DRAXX-2,Drax Heron Renewable Energy Park,53.63877,-0.21532,Biomass (dedicated),290.0,Humberside,Yorkshire and Humber,Abandoned
154,T_DRAXX-1,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
155,E__MDRX002,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
156,T_DRAXX-5,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
157,T_DRAXX-3,Drax Ouse Renewable Energy Park,53.7475,-0.99083,Biomass (dedicated),290.0,North Yorkshire,Yorkshire and Humber,Abandoned
