,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
289,Kinlochleven Power Station,KNLCV-1,56.7129,-4.95803,,,,,,,
290,Errochty Dam,ERRO-1,56.7644,-4.10523,,,,,,,
291,Errochty Dam,ERRO-2,56.7644,-4.10523,,,,,,,
292,Errochty Dam,ERRO-3,56.7644,-4.10523,,,,,,,
293,Marchwood Power Station,MRWD-1,50.897777777,-1.438888888,,,,,,,
294,Killingholme B power station,KILLPG-1,53.65419,-0.25518,,,,,,,
295,Killingholme B power station,KILLPG-2,53.65419,-0.25518,,,,,,,
296,Kilgallioch Wind Farm,KLGLW-1,55.05,-4.76527778,,,,,,,
297,Thame Road Battery Storage,THMRB-1,,,,,,,,,
298,Peterborough STOR,PETDG-1,52.575703,-0.2037977,,,,,,,
299,Brigg STOR,BRGDG-1,53.540993,-0.508006,,,,,,,
300,Neart na Gaoithe Offshore Wind Farm,NNGAO-2,56.26777778,-2.32083333,Neart na Gaoithe,Wind Offshore,56.26999980237450,-2.2500011715258400,450.00,exact,y
