,site_name,code,lat,long,repd_site_name,repd_technology_type,repd_lat,repd_long,repd_capacity,match_type,Accepted
310,Haghshaw Hill Wind Farm,HAGHW-2,,,,,,,,,
311,Broken Cross wind farm,BROCW-1,55.6165211,-3.8280487,,,,,,,
312,North Kyle Wind Farm,NOKYW-1,,,,,,,,,
313,North Kyle Wind Farm,NOKYW-2,,,,,,,,,
314,Thurrock Storage,THURB-1,,,,,,,,,
315,Thurrock Storage,THURB-2,,,,,,,,,
316,Thurrock Storage,THURB-3,,,,,,,,,
317,Kirk Hill Wind Farm,KHLLW-1,,,Kirk Hill Wind Farm,Wind Onshore,55.30641905746090,-4.739855472210910,18.80,exact,y
318,Hartlepool Nuclear Power Station,HRTL-1,54.635,-1.18083,,,,,,,
319,Hartlepool Nuclear Power Station,HRTL-2,54.635,-1.18083,,,,,,,
320,Braes of Doune Wind Farm,BRDUW-1,56.2761,-4.0625,,,,,,,
321,Ormonde Wind Farm,OMNDO-1,54.1,-3.4,,,,,,,
322,Hunterston B nuclear power station,HUNBD-1,55.7221,-4.89009,,,,,,,
323,Sloy Power Station,SLOY-1,56.251204,-4.711551,,,,,,,
324,Sloy Power Station,SLOY-2,56.251204,-4.711551,,,,,,,
325,Sloy Power Station,SLOY-3,56.251204,-4.711551,,,,,,,
326,Sloy Power Station,SLOY-4,56.251204,-4.711551,,,,,,,
327,Sloy Power Station,SLOYD-1,56.251204,-4.711551,,,,,,,
328,Greater Gabbard wind farm,GRGBW-1,51.88,1.94,Greater Gabbard Wind Farm,Wind Offshore,51.91764465935990,1.928420236839920,504.00,exact,y
329,Greater Gabbard wind farm,GRGBW-2,51.88,1.94,Greater Gabbard Wind Farm,Wind Offshore,51.91764465935990,1.928420236839920,504.00,exact,y
330,Greater Gabbard wind farm,GRGBW-3,51.88,1.94,Greater Gabbard Wind Farm,Wind Offshore,51.91764465935990,1.928420236839920,504.00,exact,y
331,London Array,LARYO-1,51.6439,1.55361,,,,,,,
332,London Array,LARYO-2,51.6439,1.55361,,,,,,,
333,London Array,LARYO-3,51.6439,1.55361,,,,,,,
334,London Array,LARYO-4,51.6439,1.55361,,,,,,,
336,Damhead Creek power station,DAMC-1,51.4254,0.6001,,,,,,,
337,Derwent Power Station,DERW-1,52.9064,-1.4007,,,,,,,
338,Dudgeon Offshore Wind Farm,DDGNO-1,53.249,1.39,,,,,,,
339,Dudgeon Offshore Wind Farm,DDGNO-2,53.249,1.39,,,,,,,
340,Dudgeon Offshore Wind Farm,DDGNO-3,53.249,1.39,,,,,,,
341,Dudgeon Offshore Wind Farm,DDGNO-4,53.249,1.39,,,,,,,
342,East–West Interconnector,IED-EWIC1,53.5305,-4.8257,,,,,,,
343,East–West Interconnector,IEG-EWIC1,53.5305,-4.8257,,,,,,,
344,Enfield Power Station,EECL-1,51.6628,-0.0227778,,,,,,,
345,Farr Wind Farm,FAARW-1,57.325,-4.09417,Farr Wind Farm,Wind Onshore,57.33392061775460,-4.103012495227080,92.00,exact,y
346,Farr Wind Farm,FAARW-2,57.325,-4.09417,Farr Wind Farm,Wind Onshore,57.33392061775460,-4.103012495227080,92.00,exact,y
351,Glanford Brigg Power Station,BRGG-1,53.5406,-0.503635,,,,,,,
352,Glendoe Hydro Scheme,GLNDO-1,57.093,-4.556,Glendoe Hydro Scheme,Large Hydro,57.14365148733440,-4.65920183286417,100.00,exact,y
353,Great Yarmouth Power Station,GYAR-1,52.5839,1.73326,,,,,,,
354,Gunfleet Sands Offshore Wind Farm,GNFSW-1,51.7394,1.17444,,,,,,,
355,Gunfleet Sands Offshore Wind Farm,GNFSW-2,51.7394,1.17444,,,,,,,
358,Keadby Power Station,KEAD-1,53.5944,-0.750442,,,,,,,
359,Keadby Power Station,KEADGT-3,53.5944,-0.750442,,,,,,,
360,Langage Power Station,LAGA-1,50.3884,-4.01173,,,,,,,
361,Lincs Wind Farm,LNCSO-1,53.1833,0.483333,,,,,,,
362,Lincs Wind Farm,LNCSO-2,53.1833,0.483333,,,,,,,
363,Little Barford Power Station,LBAR-1,52.2044,-0.268889,,,,,,,
364,Little Barford Power Station,LBAR-1G,52.2044,-0.268889,,,,,,,
365,Lochaber hydroelectric scheme,LCSMH-1,56.829,-5.073,,,,,,,
366,Hywind Scotland,HYWDW-1,57.48333333,-1.35,,,,,,,
368,Peterborough Power Station,PETEM1,52.5769,-0.204,,,,,,,
369,Peterhead Power Station,PEHED-1,57.4772,-1.78888,,,,,,,
370,Rampion Wind Farm,RMPNO-1,50.664722222,-0.278888888,,,,,,,
371,Rampion Wind Farm,RMPNO-2,50.664722222,-0.278888888,,,,,,,
372,Ratcliffe-on-Soar power station,RATS-1,52.8653,-1.255,,,,,,,
373,Ratcliffe-on-Soar power station,RATS-2,52.8653,-1.255,,,,,,,
374,Ratcliffe-on-Soar power station,RATS-3,52.8653,-1.255,,,,,,,
375,Ratcliffe-on-Soar power station,RATS-4,52.8653,-1.255,,,,,,,
376,Ratcliffe-on-Soar power station,RATSGT-2,52.8653,-1.255,,,,,,,
377,Ratcliffe-on-Soar power station,RATSGT-4,52.8653,-1.255,,,,,,,
378,Rheidol Power Station,RHEI-4,52.396,-3.9,,,,,,,
379,Rocksavage Power Station,ROCK-1,53.3154,-2.72541,,,,,,,
380,Rye House power station,RYHPS-1,51.7625,0.01077,,,,,,,
381,Seabank Power Station,SEAB-1,51.54,-2.669,,,,,,,
382,Seabank Power Station,SEAB-2,51.54,-2.669,,,,,,,
386,Shoreham Power Station,SHOS-1,50.8294,-0.230556,,,,,,,
387,South Humber Bank Power Station,SHBA-1,53.603,-0.146,South Humber Bank Power Station ,EfW Incineration,53.60290582177660,-0.146125231787176,95.00,exact,y
388,South Humber Bank Power Station,SHBA-2,53.603,-0.146,South Humber Bank Power Station ,EfW Incineration,53.60290582177660,-0.146125231787176,95.00,exact,y
391,St Fergus Gas Terminal,SFERD-1,57.5706,-1.83803,,,,,,,
392,St Fergus Gas Terminal,SFGSD-1,57.5706,-1.83803,,,,,,,
393,St Fergus Gas Terminal,SFGSD-2,57.5706,-1.83803,,,,,,,
394,Staythorpe Power Station,STAY-1,53.0748,-0.85573,,,,,,,
395,Staythorpe Power Station,STAY-2,53.0748,-0.85573,,,,,,,
396,Staythorpe Power Station,STAY-3,53.0748,-0.85573,,,,,,,
397,Staythorpe Power Station,STAY-4,53.0748,-0.85573,,,,,,,
398,Sutton Bridge Power Station,SUTB-1,52.7572,0.19316,,,,,,,
399,Taylor's Lane Power Station,TAYL2G,51.546,-0.2575,,,,,,,
400,Taylor's Lane Power Station,TAYL3G,51.546,-0.2575,,,,,,,
401,Teesside power station,TSREP-1,54.5768,-1.12042,,,,,,,
406,Westermost Rough Wind Farm,WTMSO-1,53.805,0.149,,,,,,,
407,Wilton power stations,WILCT-1,54.5894,-1.1185,,,,,,,
